number of servers switched on: 3
number of jobs: 1000
seed: 500
   time  event        next arrival time    next departure time  job list
140.31   departure              140.417                inf      []
140.417  arrival                140.654                140.692  [[140.417, 0.275]]
140.654  arrival                141.056                140.73   [[140.417, 0.038], [140.654, 0.225]]
140.73   departure              141.056                140.917  [[140.654, 0.187]]
140.917  departure              141.056                inf      []
141.056  arrival                141.283                141.393  [[141.056, 0.337]]
141.283  arrival                141.866                141.503  [[141.056, 0.11], [141.283, 0.258]]
141.503  departure              141.866                141.651  [[141.283, 0.148]]
141.651  departure              141.866                inf      []
141.866  arrival                inf                    142.089  [[141.866, 0.223]]
142.089  departure              inf                    inf      []
mean response time is: 0.708542

number of servers switched on: 4
number of jobs: 1000
seed: 500
   time  event        next arrival time    next departure time  job list
-------  ---------  -------------------  ---------------------  ---------------------------------------------------------------------------------------------
  0      None                     1                    inf      []
  1      arrival                  1.736                  1.487  [[1.0, 0.487]]
  1.487  departure                1.736                inf      []
  1.736  arrival                  2.199                  2.207  [[1.736, 0.471]]
  2.199  arrival                  2.885                  2.215  [[1.736, 0.008], [2.199, 0.406]]
  2.215  departure                2.885                  2.613  [[2.199, 0.398]]
  2.613  departure                2.885                inf      []
  2.885  arrival                  3.585                  3.237  [[2.885, 0.352]]
  3.237  departure                3.585                inf      []
  3.585  arrival                  4.21                   3.952  [[3.585, 0.367]]
  3.952  departure                4.21                 inf      []
  4.21   arrival                  4.727                  4.734  [[4.21, 0.524]]
  4.727  arrival                  5.436                  4.741  [[4.21, 0.007], [4.727, 0.334]]
  4.741  departure                5.436                  5.068  [[4.727, 0.327]]
  5.068  departure                5.436                inf      []
  5.436  arrival                  5.643                  5.912  [[5.436, 0.476]]
  5.643  arrival                  5.81                   6.181  [[5.436, 0.269], [5.643, 0.521]]
  5.81   arrival                  6.012                  6.365  [[5.436, 0.185], [5.643, 0.437], [5.81, 0.4]]
  6.012  arrival                  6.228                  6.484  [[5.436, 0.118], [5.643, 0.37], [5.81, 0.333], [6.012, 0.471]]
  6.228  arrival                  6.897                  6.548  [[5.436, 0.064], [5.643, 0.316], [5.81, 0.279], [6.012, 0.417], [6.228, 0.443]]
  6.548  departure                6.897                  7.408  [[5.643, 0.252], [5.81, 0.215], [6.012, 0.353], [6.228, 0.379]]
  6.897  arrival                  7.437                  7.537  [[5.643, 0.165], [5.81, 0.128], [6.012, 0.266], [6.228, 0.292], [6.897, 0.505]]
  7.437  arrival                  8.021                  7.557  [[5.643, 0.057], [5.81, 0.02], [6.012, 0.158], [6.228, 0.184], [6.897, 0.397], [7.437, 0.34]]
  7.557  departure                8.021                  7.742  [[5.643, 0.037], [6.012, 0.138], [6.228, 0.164], [6.897, 0.377], [7.437, 0.32]]
  7.742  departure                8.021                  8.146  [[6.012, 0.101], [6.228, 0.127], [6.897, 0.34], [7.437, 0.283]]
  8.021  arrival                  9.075                  8.176  [[6.012, 0.031], [6.228, 0.057], [6.897, 0.27], [7.437, 0.213], [8.021, 0.313]]
  8.176  departure                9.075                  8.28   [[6.228, 0.026], [6.897, 0.239], [7.437, 0.182], [8.021, 0.282]]
  8.28   departure                9.075                  8.748  [[6.897, 0.213], [7.437, 0.156], [8.021, 0.256]]
  8.748  departure                9.075                  8.862  [[6.897, 0.057], [8.021, 0.1]]
  8.862  departure                9.075                  8.905  [[8.021, 0.043]]
  8.905  departure                9.075                inf      []
  9.075  arrival                 10                      9.407  [[9.075, 0.332]]
  9.407  departure               10                    inf      []
 10      arrival                 10.44                  10.316  [[10.0, 0.316]]
 10.316  departure               10.44                 inf      []
 10.44   arrival                 11.078                 10.791  [[10.44, 0.351]]
 10.791  departure               11.078                inf      []
 11.078  arrival                 11.356                 11.394  [[11.078, 0.316]]
 11.356  arrival                 12.098                 11.432  [[11.078, 0.038], [11.356, 0.409]]
 11.432  departure               12.098                 11.803  [[11.356, 0.371]]
 11.803  departure               12.098                inf      []
 12.098  arrival                 12.279                 12.367  [[12.098, 0.269]]
 12.279  arrival                 12.983                 12.455  [[12.098, 0.088], [12.279, 0.357]]
 12.455  departure               12.983                 12.724  [[12.279, 0.269]]
 12.724  departure               12.983                inf      []
 12.983  arrival                 13.443                 13.487  [[12.983, 0.504]]
 13.443  arrival                 13.833                 13.531  [[12.983, 0.044], [13.443, 0.466]]
 13.531  departure               13.833                 13.953  [[13.443, 0.422]]
 13.833  arrival                 14.684                 14.073  [[13.443, 0.12], [13.833, 0.46]]
 14.073  departure               14.684                 14.413  [[13.833, 0.34]]
 14.413  departure               14.684                inf      []
 14.684  arrival                 15.167                 15.141  [[14.684, 0.457]]
 15.141  departure               15.167                inf      []
 15.167  arrival                 15.558                 15.59   [[15.167, 0.423]]
 15.558  arrival                 16.958                 15.622  [[15.167, 0.032], [15.558, 0.338]]
 15.622  departure               16.958                 15.928  [[15.558, 0.306]]
 15.928  departure               16.958                inf      []
 16.958  arrival                 17.463                 17.299  [[16.958, 0.341]]
 17.299  departure               17.463                inf      []
 17.463  arrival                 17.653                 18.017  [[17.463, 0.554]]
 17.653  arrival                 18.647                 18.381  [[17.463, 0.364], [17.653, 0.517]]
 18.381  departure               18.647                 18.534  [[17.653, 0.153]]
 18.534  departure               18.647                inf      []
 18.647  arrival                 20.152                 18.982  [[18.647, 0.335]]
 18.982  departure               20.152                inf      []
 20.152  arrival                 20.698                 20.538  [[20.152, 0.386]]
 20.538  departure               20.698                inf      []
 20.698  arrival                 21.125                 21.064  [[20.698, 0.366]]
 21.064  departure               21.125                inf      []
 21.125  arrival                 21.999                 21.644  [[21.125, 0.519]]
 21.644  departure               21.999                inf      []
 21.999  arrival                 22.235                 22.298  [[21.999, 0.299]]
 22.235  arrival                 22.597                 22.361  [[21.999, 0.063], [22.235, 0.334]]
 22.361  departure               22.597                 22.632  [[22.235, 0.271]]
 22.597  arrival                 22.968                 22.667  [[22.235, 0.035], [22.597, 0.398]]
 22.667  departure               22.968                 23.03   [[22.597, 0.363]]
 22.968  arrival                 23.38                  23.092  [[22.597, 0.062], [22.968, 0.412]]
 23.092  departure               23.38                  23.442  [[22.968, 0.35]]
 23.38   arrival                 24.052                 23.504  [[22.968, 0.062], [23.38, 0.521]]
 23.504  departure               24.052                 23.963  [[23.38, 0.459]]
 23.963  departure               24.052                inf      []
 24.052  arrival                 25.254                 24.338  [[24.052, 0.286]]
 24.338  departure               25.254                inf      []
 25.254  arrival                 25.739                 25.512  [[25.254, 0.258]]
 25.512  departure               25.739                inf      []
 25.739  arrival                 26.257                 26.096  [[25.739, 0.357]]
 26.096  departure               26.257                inf      []
 26.257  arrival                 26.536                 26.576  [[26.257, 0.319]]
 26.536  arrival                 27.631                 26.616  [[26.257, 0.04], [26.536, 0.272]]
 26.616  departure               27.631                 26.848  [[26.536, 0.232]]
 26.848  departure               27.631                inf      []
 27.631  arrival                 28.242                 28.117  [[27.631, 0.486]]
 28.117  departure               28.242                inf      []
 28.242  arrival                 28.649                 28.715  [[28.242, 0.473]]
 28.649  arrival                 28.891                 28.781  [[28.242, 0.066], [28.649, 0.331]]
 28.781  departure               28.891                 29.046  [[28.649, 0.265]]
 28.891  arrival                 30.413                 29.201  [[28.649, 0.155], [28.891, 0.563]]
 29.201  departure               30.413                 29.609  [[28.891, 0.408]]
 29.609  departure               30.413                inf      []
 30.413  arrival                 31.137                 30.749  [[30.413, 0.336]]
 30.749  departure               31.137                inf      []
 31.137  arrival                 31.564                 31.513  [[31.137, 0.376]]
 31.513  departure               31.564                inf      []
 31.564  arrival                 31.841                 31.867  [[31.564, 0.303]]
 31.841  arrival                 32.287                 31.893  [[31.564, 0.026], [31.841, 0.399]]
 31.893  departure               32.287                 32.266  [[31.841, 0.373]]
 32.266  departure               32.287                inf      []
 32.287  arrival                 32.466                 32.564  [[32.287, 0.277]]
 32.466  arrival                 33.187                 32.662  [[32.287, 0.098], [32.466, 0.274]]
 32.662  departure               33.187                 32.838  [[32.466, 0.176]]
 32.838  departure               33.187                inf      []
 33.187  arrival                 33.828                 33.757  [[33.187, 0.57]]
 33.757  departure               33.828                inf      []
 33.828  arrival                 35.002                 34.219  [[33.828, 0.391]]
 34.219  departure               35.002                inf      []
 35.002  arrival                 35.171                 35.387  [[35.002, 0.385]]
 35.171  arrival                 35.897                 35.603  [[35.002, 0.216], [35.171, 0.325]]
 35.603  departure               35.897                 35.712  [[35.171, 0.109]]
 35.712  departure               35.897                inf      []
 35.897  arrival                 36.172                 36.224  [[35.897, 0.327]]
 36.172  arrival                 36.632                 36.276  [[35.897, 0.052], [36.172, 0.543]]
 36.276  departure               36.632                 36.767  [[36.172, 0.491]]
 36.632  arrival                 36.946                 36.902  [[36.172, 0.135], [36.632, 0.529]]
 36.902  departure               36.946                 37.296  [[36.632, 0.394]]
 36.946  arrival                 37.163                 37.516  [[36.632, 0.35], [36.946, 0.285]]
 37.163  arrival                 38.618                 37.691  [[36.632, 0.241], [36.946, 0.176], [37.163, 0.471]]
 37.691  departure               38.618                 37.821  [[36.632, 0.065], [37.163, 0.295]]
 37.821  departure               38.618                 38.051  [[37.163, 0.23]]
 38.051  departure               38.618                inf      []
 38.618  arrival                 39.195                 38.959  [[38.618, 0.341]]
 38.959  departure               39.195                inf      []
 39.195  arrival                 39.959                 39.678  [[39.195, 0.483]]
 39.678  departure               39.959                inf      []
 39.959  arrival                 40.811                 40.416  [[39.959, 0.457]]
 40.416  departure               40.811                inf      []
 40.811  arrival                 41.152                 41.24   [[40.811, 0.429]]
 41.152  arrival                 41.815                 41.328  [[40.811, 0.088], [41.152, 0.519]]
 41.328  departure               41.815                 41.759  [[41.152, 0.431]]
 41.759  departure               41.815                inf      []
 41.815  arrival                 42.306                 42.173  [[41.815, 0.358]]
 42.173  departure               42.306                inf      []
 42.306  arrival                 42.748                 42.578  [[42.306, 0.272]]
 42.578  departure               42.748                inf      []
 42.748  arrival                 43.7                   43.067  [[42.748, 0.319]]
 43.067  departure               43.7                  inf      []
 43.7    arrival                 44.581                 43.973  [[43.7, 0.273]]
 43.973  departure               44.581                inf      []
 44.581  arrival                 45.096                 45.027  [[44.581, 0.446]]
 45.027  departure               45.096                inf      []
 45.096  arrival                 46.144                 45.528  [[45.096, 0.432]]
 45.528  departure               46.144                inf      []
 46.144  arrival                 46.636                 46.406  [[46.144, 0.262]]
 46.406  departure               46.636                inf      []
 46.636  arrival                 46.848                 46.908  [[46.636, 0.272]]
 46.848  arrival                 47.572                 46.968  [[46.636, 0.06], [46.848, 0.475]]
 46.968  departure               47.572                 47.383  [[46.848, 0.415]]
 47.383  departure               47.572                inf      []
 47.572  arrival                 48.759                 47.989  [[47.572, 0.417]]
 47.989  departure               48.759                inf      []
 48.759  arrival                 49.306                 49.245  [[48.759, 0.486]]
 49.245  departure               49.306                inf      []
 49.306  arrival                 49.56                  49.599  [[49.306, 0.293]]
 49.56   arrival                 50.236                 49.638  [[49.306, 0.039], [49.56, 0.571]]
 49.638  departure               50.236                 50.17   [[49.56, 0.532]]
 50.17   departure               50.236                inf      []
 50.236  arrival                 50.921                 50.64   [[50.236, 0.404]]
 50.64   departure               50.921                inf      []
 50.921  arrival                 51.258                 51.237  [[50.921, 0.316]]
 51.237  departure               51.258                inf      []
 51.258  arrival                 51.651                 51.741  [[51.258, 0.483]]
 51.651  arrival                 52.178                 51.831  [[51.258, 0.09], [51.651, 0.413]]
 51.831  departure               52.178                 52.154  [[51.651, 0.323]]
 52.154  departure               52.178                inf      []
 52.178  arrival                 52.316                 52.63   [[52.178, 0.452]]
 52.316  arrival                 52.75                  52.944  [[52.178, 0.314], [52.316, 0.351]]
 52.75   arrival                 53.3                   53.041  [[52.178, 0.097], [52.316, 0.134], [52.75, 0.353]]
 53.041  departure               53.3                   53.115  [[52.316, 0.037], [52.75, 0.256]]
 53.115  departure               53.3                   53.334  [[52.75, 0.219]]
 53.3    arrival                 53.746                 53.368  [[52.75, 0.034], [53.3, 0.57]]
 53.368  departure               53.746                 53.904  [[53.3, 0.536]]
 53.746  arrival                 54.527                 54.062  [[53.3, 0.158], [53.746, 0.281]]
 54.062  departure               54.527                 54.185  [[53.746, 0.123]]
 54.185  departure               54.527                inf      []
 54.527  arrival                 55.01                  54.959  [[54.527, 0.432]]
 54.959  departure               55.01                 inf      []
 55.01   arrival                 55.605                 55.468  [[55.01, 0.458]]
 55.468  departure               55.605                inf      []
 55.605  arrival                 56.204                 56.08   [[55.605, 0.475]]
 56.08   departure               56.204                inf      []
 56.204  arrival                 56.746                 56.46   [[56.204, 0.256]]
 56.46   departure               56.746                inf      []
 56.746  arrival                 57.389                 57.097  [[56.746, 0.351]]
 57.097  departure               57.389                inf      []
 57.389  arrival                 58.067                 57.876  [[57.389, 0.487]]
 57.876  departure               58.067                inf      []
 58.067  arrival                 58.678                 58.638  [[58.067, 0.571]]
 58.638  departure               58.678                inf      []
 58.678  arrival                 59.363                 59.008  [[58.678, 0.33]]
 59.008  departure               59.363                inf      []
 59.363  arrival                 59.693                 59.877  [[59.363, 0.514]]
 59.693  arrival                 60.518                 60.061  [[59.363, 0.184], [59.693, 0.252]]
 60.061  departure               60.518                 60.129  [[59.693, 0.068]]
 60.129  departure               60.518                inf      []
 60.518  arrival                 60.822                 61.061  [[60.518, 0.543]]
 60.822  arrival                 61.248                 61.3    [[60.518, 0.239], [60.822, 0.329]]
 61.248  arrival                 61.672                 61.326  [[60.518, 0.026], [60.822, 0.116], [61.248, 0.491]]
 61.326  departure               61.672                 61.506  [[60.822, 0.09], [61.248, 0.465]]
 61.506  departure               61.672                 61.881  [[61.248, 0.375]]
 61.672  arrival                 62.013                 62.09   [[61.248, 0.209], [61.672, 0.419]]
 62.013  arrival                 62.246                 62.127  [[61.248, 0.038], [61.672, 0.248], [62.013, 0.487]]
 62.127  departure               62.246                 62.547  [[61.672, 0.21], [62.013, 0.449]]
 62.246  arrival                 62.708                 62.696  [[61.672, 0.15], [62.013, 0.389], [62.246, 0.395]]
 62.696  departure               62.708                 63.174  [[62.013, 0.239], [62.246, 0.245]]
 62.708  arrival                 63.789                 63.407  [[62.013, 0.233], [62.246, 0.239], [62.708, 0.285]]
 63.407  departure               63.789                 63.419  [[62.246, 0.006], [62.708, 0.052]]
 63.419  departure               63.789                 63.465  [[62.708, 0.046]]
 63.465  departure               63.789                inf      []
 63.789  arrival                 64.372                 64.344  [[63.789, 0.555]]
 64.344  departure               64.372                inf      []
 64.372  arrival                 64.883                 64.768  [[64.372, 0.396]]
 64.768  departure               64.883                inf      []
 64.883  arrival                 65.17                  65.339  [[64.883, 0.456]]
 65.17   arrival                 66.079                 65.508  [[64.883, 0.169], [65.17, 0.488]]
 65.508  departure               66.079                 65.827  [[65.17, 0.319]]
 65.827  departure               66.079                inf      []
 66.079  arrival                 66.402                 66.424  [[66.079, 0.345]]
 66.402  arrival                 66.919                 66.446  [[66.079, 0.022], [66.402, 0.423]]
 66.446  departure               66.919                 66.847  [[66.402, 0.401]]
 66.847  departure               66.919                inf      []
 66.919  arrival                 67.209                 67.307  [[66.919, 0.388]]
 67.209  arrival                 67.714                 67.405  [[66.919, 0.098], [67.209, 0.331]]
 67.405  departure               67.714                 67.638  [[67.209, 0.233]]
 67.638  departure               67.714                inf      []
 67.714  arrival                 68.317                 67.966  [[67.714, 0.252]]
 67.966  departure               68.317                inf      []
 68.317  arrival                 68.973                 68.825  [[68.317, 0.508]]
 68.825  departure               68.973                inf      []
 68.973  arrival                 69.443                 69.382  [[68.973, 0.409]]
 69.382  departure               69.443                inf      []
 69.443  arrival                 69.861                 69.773  [[69.443, 0.33]]
 69.773  departure               69.861                inf      []
 69.861  arrival                 70.237                 70.124  [[69.861, 0.263]]
 70.124  departure               70.237                inf      []
 70.237  arrival                 70.96                  70.607  [[70.237, 0.37]]
 70.607  departure               70.96                 inf      []
 70.96   arrival                 71.748                 71.336  [[70.96, 0.376]]
 71.336  departure               71.748                inf      []
 71.748  arrival                 72.213                 72.127  [[71.748, 0.379]]
 72.127  departure               72.213                inf      []
 72.213  arrival                 72.441                 72.513  [[72.213, 0.3]]
 72.441  arrival                 72.856                 72.585  [[72.213, 0.072], [72.441, 0.402]]
 72.585  departure               72.856                 72.915  [[72.441, 0.33]]
 72.856  arrival                 73.602                 72.974  [[72.441, 0.059], [72.856, 0.568]]
 72.974  departure               73.602                 73.483  [[72.856, 0.509]]
 73.483  departure               73.602                inf      []
 73.602  arrival                 74.107                 73.969  [[73.602, 0.367]]
 73.969  departure               74.107                inf      []
 74.107  arrival                 75.593                 74.386  [[74.107, 0.279]]
 74.386  departure               75.593                inf      []
 75.593  arrival                 75.906                 75.92   [[75.593, 0.327]]
 75.906  arrival                 76.483                 75.934  [[75.593, 0.014], [75.906, 0.346]]
 75.934  departure               76.483                 76.266  [[75.906, 0.332]]
 76.266  departure               76.483                inf      []
 76.483  arrival                 76.947                 76.979  [[76.483, 0.496]]
 76.947  arrival                 77.165                 77.011  [[76.483, 0.032], [76.947, 0.531]]
 77.011  departure               77.165                 77.51   [[76.947, 0.499]]
 77.165  arrival                 78.401                 77.855  [[76.947, 0.345], [77.165, 0.351]]
 77.855  departure               78.401                 77.861  [[77.165, 0.006]]
 77.861  departure               78.401                inf      []
 78.401  arrival                 78.844                 78.885  [[78.401, 0.484]]
 78.844  arrival                 79.854                 78.926  [[78.401, 0.041], [78.844, 0.282]]
 78.926  departure               79.854                 79.167  [[78.844, 0.241]]
 79.167  departure               79.854                inf      []
 79.854  arrival                 80.121                 80.135  [[79.854, 0.281]]
 80.121  arrival                 80.943                 80.149  [[79.854, 0.014], [80.121, 0.477]]
 80.149  departure               80.943                 80.612  [[80.121, 0.463]]
 80.612  departure               80.943                inf      []
 80.943  arrival                 81.502                 81.31   [[80.943, 0.367]]
 81.31   departure               81.502                inf      []
 81.502  arrival                 81.947                 81.816  [[81.502, 0.314]]
 81.816  departure               81.947                inf      []
 81.947  arrival                 82.315                 82.263  [[81.947, 0.316]]
 82.263  departure               82.315                inf      []
 82.315  arrival                 82.793                 82.842  [[82.315, 0.527]]
 82.793  arrival                 83.289                 82.891  [[82.315, 0.049], [82.793, 0.333]]
 82.891  departure               83.289                 83.175  [[82.793, 0.284]]
 83.175  departure               83.289                inf      []
 83.289  arrival                 83.778                 83.86   [[83.289, 0.571]]
 83.778  arrival                 83.99                  83.942  [[83.289, 0.082], [83.778, 0.353]]
 83.942  departure               83.99                  84.213  [[83.778, 0.271]]
 83.99   arrival                 84.23                  84.436  [[83.778, 0.223], [83.99, 0.511]]
 84.23   arrival                 84.884                 84.539  [[83.778, 0.103], [83.99, 0.391], [84.23, 0.514]]
 84.539  departure               84.884                 85.115  [[83.99, 0.288], [84.23, 0.411]]
 84.884  arrival                 85.649                 85.229  [[83.99, 0.115], [84.23, 0.238], [84.884, 0.263]]
 85.229  departure               85.649                 85.475  [[84.23, 0.123], [84.884, 0.148]]
 85.475  departure               85.649                 85.5    [[84.884, 0.025]]
 85.5    departure               85.649                inf      []
 85.649  arrival                 86.174                 86      [[85.649, 0.351]]
 86      departure               86.174                inf      []
 86.174  arrival                 86.654                 86.62   [[86.174, 0.446]]
 86.62   departure               86.654                inf      []
 86.654  arrival                 87.736                 87.03   [[86.654, 0.376]]
 87.03   departure               87.736                inf      []
 87.736  arrival                 88.494                 88.03   [[87.736, 0.294]]
 88.03   departure               88.494                inf      []
 88.494  arrival                 89.386                 88.876  [[88.494, 0.382]]
 88.876  departure               89.386                inf      []
 89.386  arrival                 90.142                 89.699  [[89.386, 0.313]]
 89.699  departure               90.142                inf      []
 90.142  arrival                 90.563                 90.509  [[90.142, 0.367]]
 90.509  departure               90.563                inf      []
 90.563  arrival                 91.585                 91.091  [[90.563, 0.528]]
 91.091  departure               91.585                inf      []
 91.585  arrival                 91.931                 92.027  [[91.585, 0.442]]
 91.931  arrival                 92.286                 92.123  [[91.585, 0.096], [91.931, 0.546]]
 92.123  departure               92.286                 92.573  [[91.931, 0.45]]
 92.286  arrival                 92.537                 92.86   [[91.931, 0.287], [92.286, 0.475]]
 92.537  arrival                 93.419                 93.02   [[91.931, 0.161], [92.286, 0.349], [92.537, 0.335]]
 93.02   departure               93.419                 93.368  [[92.286, 0.188], [92.537, 0.174]]
 93.368  departure               93.419                 93.382  [[92.286, 0.014]]
 93.382  departure               93.419                inf      []
 93.419  arrival                 93.931                 93.773  [[93.419, 0.354]]
 93.773  departure               93.931                inf      []
 93.931  arrival                 94.49                  94.224  [[93.931, 0.293]]
 94.224  departure               94.49                 inf      []
 94.49   arrival                 94.798                 94.765  [[94.49, 0.275]]
 94.765  departure               94.798                inf      []
 94.798  arrival                 95.547                 95.247  [[94.798, 0.449]]
 95.247  departure               95.547                inf      []
 95.547  arrival                 96.35                  96.042  [[95.547, 0.495]]
 96.042  departure               96.35                 inf      []
 96.35   arrival                 97.09                  96.758  [[96.35, 0.408]]
 96.758  departure               97.09                 inf      []
 97.09   arrival                 97.252                 97.472  [[97.09, 0.382]]
 97.252  arrival                 97.454                 97.692  [[97.09, 0.22], [97.252, 0.285]]
 97.454  arrival                 97.829                 97.811  [[97.09, 0.119], [97.252, 0.184], [97.454, 0.377]]
 97.811  departure               97.829                 97.941  [[97.252, 0.065], [97.454, 0.258]]
 97.829  arrival                 98.328                 97.997  [[97.252, 0.056], [97.454, 0.249], [97.829, 0.426]]
 97.997  departure               98.328                 98.383  [[97.454, 0.193], [97.829, 0.37]]
 98.328  arrival                 98.444                 98.409  [[97.454, 0.027], [97.829, 0.204], [98.328, 0.338]]
 98.409  departure               98.444                 98.763  [[97.829, 0.177], [98.328, 0.311]]
 98.444  arrival                 98.69                  98.921  [[97.829, 0.159], [98.328, 0.293], [98.444, 0.487]]
 98.69   arrival                 98.836                 98.998  [[97.829, 0.077], [98.328, 0.211], [98.444, 0.405], [98.69, 0.323]]
 98.836  arrival                 99.393                 99.041  [[97.829, 0.041], [98.328, 0.175], [98.444, 0.369], [98.69, 0.287], [98.836, 0.308]]
 99.041  departure               99.393                 99.577  [[98.328, 0.134], [98.444, 0.328], [98.69, 0.246], [98.836, 0.267]]
 99.393  arrival                100.05                  99.623  [[98.328, 0.046], [98.444, 0.24], [98.69, 0.158], [98.836, 0.179], [99.393, 0.371]]
 99.623  departure              100.05                 100.071  [[98.444, 0.194], [98.69, 0.112], [98.836, 0.133], [99.393, 0.325]]
100.05   arrival                100.295                100.075  [[98.444, 0.087], [98.69, 0.005], [98.836, 0.026], [99.393, 0.218], [100.05, 0.261]]
100.075  departure              100.295                100.159  [[98.444, 0.082], [98.836, 0.021], [99.393, 0.213], [100.05, 0.256]]
100.159  departure              100.295                100.342  [[98.444, 0.061], [99.393, 0.192], [100.05, 0.235]]
100.295  arrival                100.937                100.359  [[98.444, 0.016], [99.393, 0.147], [100.05, 0.19], [100.295, 0.296]]
100.359  departure              100.937                100.752  [[99.393, 0.131], [100.05, 0.174], [100.295, 0.28]]
100.752  departure              100.937                100.838  [[100.05, 0.043], [100.295, 0.149]]
100.838  departure              100.937                100.944  [[100.295, 0.106]]
100.937  arrival                101.434                100.951  [[100.295, 0.007], [100.937, 0.478]]
100.951  departure              101.434                101.422  [[100.937, 0.471]]
101.422  departure              101.434                inf      []
101.434  arrival                102.057                101.935  [[101.434, 0.501]]
101.935  departure              102.057                inf      []
102.057  arrival                102.711                102.369  [[102.057, 0.312]]
102.369  departure              102.711                inf      []
102.711  arrival                103.624                103.24   [[102.711, 0.529]]
103.24   departure              103.624                inf      []
103.624  arrival                104.256                103.931  [[103.624, 0.307]]
103.931  departure              104.256                inf      []
104.256  arrival                104.486                104.542  [[104.256, 0.286]]
104.486  arrival                104.856                104.598  [[104.256, 0.056], [104.486, 0.475]]
104.598  departure              104.856                105.017  [[104.486, 0.419]]
104.856  arrival                105.368                105.178  [[104.486, 0.161], [104.856, 0.534]]
105.178  departure              105.368                105.551  [[104.856, 0.373]]
105.368  arrival                105.549                105.734  [[104.856, 0.183], [105.368, 0.502]]
105.549  arrival                106.983                105.825  [[104.856, 0.092], [105.368, 0.411], [105.549, 0.432]]
105.825  departure              106.983                106.463  [[105.368, 0.319], [105.549, 0.34]]
106.463  departure              106.983                106.484  [[105.549, 0.021]]
106.484  departure              106.983                inf      []
106.983  arrival                107.782                107.25   [[106.983, 0.267]]
107.25   departure              107.782                inf      []
107.782  arrival                108.378                108.192  [[107.782, 0.41]]
108.192  departure              108.378                inf      []
108.378  arrival                108.484                108.658  [[108.378, 0.28]]
108.484  arrival                109.353                108.832  [[108.378, 0.174], [108.484, 0.405]]
108.832  departure              109.353                109.063  [[108.484, 0.231]]
109.063  departure              109.353                inf      []
109.353  arrival                109.741                109.733  [[109.353, 0.38]]
109.733  departure              109.741                inf      []
109.741  arrival                110.041                110.113  [[109.741, 0.372]]
110.041  arrival                110.679                110.185  [[109.741, 0.072], [110.041, 0.297]]
110.185  departure              110.679                110.41   [[110.041, 0.225]]
110.41   departure              110.679                inf      []
110.679  arrival                111.203                111.16   [[110.679, 0.481]]
111.16   departure              111.203                inf      []
111.203  arrival                111.67                 111.458  [[111.203, 0.255]]
111.458  departure              111.67                 inf      []
111.67   arrival                112.275                112.15   [[111.67, 0.48]]
112.15   departure              112.275                inf      []
112.275  arrival                112.762                112.538  [[112.275, 0.263]]
112.538  departure              112.762                inf      []
112.762  arrival                113.841                113.08   [[112.762, 0.318]]
113.08   departure              113.841                inf      []
113.841  arrival                114.189                114.317  [[113.841, 0.476]]
114.189  arrival                115.065                114.445  [[113.841, 0.128], [114.189, 0.429]]
114.445  departure              115.065                114.746  [[114.189, 0.301]]
114.746  departure              115.065                inf      []
115.065  arrival                115.527                115.592  [[115.065, 0.527]]
115.527  arrival                116.389                115.657  [[115.065, 0.065], [115.527, 0.339]]
115.657  departure              116.389                115.931  [[115.527, 0.274]]
115.931  departure              116.389                inf      []
116.389  arrival                116.611                116.693  [[116.389, 0.304]]
116.611  arrival                117.141                116.775  [[116.389, 0.082], [116.611, 0.413]]
116.775  departure              117.141                117.106  [[116.611, 0.331]]
117.106  departure              117.141                inf      []
117.141  arrival                117.467                117.491  [[117.141, 0.35]]
117.467  arrival                118.147                117.515  [[117.141, 0.024], [117.467, 0.492]]
117.515  departure              118.147                117.983  [[117.467, 0.468]]
117.983  departure              118.147                inf      []
118.147  arrival                118.655                118.621  [[118.147, 0.474]]
118.621  departure              118.655                inf      []
118.655  arrival                119.002                119.021  [[118.655, 0.366]]
119.002  arrival                119.584                119.04   [[118.655, 0.019], [119.002, 0.414]]
119.04   departure              119.584                119.435  [[119.002, 0.395]]
119.435  departure              119.584                inf      []
119.584  arrival                119.977                119.976  [[119.584, 0.392]]
119.976  departure              119.977                inf      []
119.977  arrival                120.609                120.244  [[119.977, 0.267]]
120.244  departure              120.609                inf      []
120.609  arrival                121.019                121.128  [[120.609, 0.519]]
121.019  arrival                121.423                121.237  [[120.609, 0.109], [121.019, 0.416]]
121.237  departure              121.423                121.544  [[121.019, 0.307]]
121.423  arrival                121.813                121.665  [[121.019, 0.121], [121.423, 0.562]]
121.665  departure              121.813                122.106  [[121.423, 0.441]]
121.813  arrival                122.248                122.399  [[121.423, 0.293], [121.813, 0.496]]
122.248  arrival                123.091                122.476  [[121.423, 0.076], [121.813, 0.279], [122.248, 0.434]]
122.476  departure              123.091                122.882  [[121.813, 0.203], [122.248, 0.358]]
122.882  departure              123.091                123.037  [[122.248, 0.155]]
123.037  departure              123.091                inf      []
123.091  arrival                123.554                123.457  [[123.091, 0.366]]
123.457  departure              123.554                inf      []
123.554  arrival                123.701                123.857  [[123.554, 0.303]]
123.701  arrival                124.641                124.013  [[123.554, 0.156], [123.701, 0.343]]
124.013  departure              124.641                124.2    [[123.701, 0.187]]
124.2    departure              124.641                inf      []
124.641  arrival                125.156                124.974  [[124.641, 0.333]]
124.974  departure              125.156                inf      []
